time_s,"state:p_n","state:p_e","state:p_d","state:u","state:v","state:w","state:q_w","state:q_x","state:q_y","state:q_z","state:p","state:q","state:r","state:omega_0","state:omega_1","state:omega_2","state:omega_3","command:omega_command_0_rad_s","command:omega_command_1_rad_s","command:omega_command_2_rad_s","command:omega_command_3_rad_s","wind:north_m_s","wind:east_m_s","wind:down_m_s"
0.40000000000000002,0.003363538600444662,-1.7353417274288428e-21,-100.01329762610479,0.064400245940966411,3.1342461497087083e-19,-0.087801469831031917,0.99798619370124153,6.5414033801968121e-19,-0.063431515681938999,1.0578650026547092e-20,2.5630449260551554e-17,-1.4709978575874647,-8.7547200804490439e-36,610.07250588151783,659.90757911986532,659.90757911986532,610.07250588151783,610,660,660,610,0,0,0
0.42000000000000004,0.005137985048554534,9.7095360443844512e-21,-100.01491340537881,0.089196781105310388,5.8314301948949988e-19,-0.097751971664429699,0.99687588425280704,8.0711613155930943e-19,-0.078983994550694214,9.0431431686826618e-21,-3.3585232279280918e-18,-1.6474378678420702,-2.0580580557593149e-35,610.040945421836,659.94780820749509,659.94780820749509,610.040945421836,610,660,660,610,0,0,0
0.44,0.00754607479420287,2.749392777414751e-20,-100.01658999516989,0.11962111651258379,9.0251523333533156e-19,-0.10993073563406026,0.99535494982911166,7.2242762602948967e-19,-0.09627317305816048,-1.1985874391567777e-20,-6.5617754719213069e-18,-1.8237684695183243,-2.5907815255951998e-35,610.02312264238753,659.97052632261341,659.97052632261341,610.02312264238753,610,660,660,610,0,0,0
0.46000000000000002,0.010724618026796208,5.113910151439511e-20,-100.0183025883846,0.1561257666143461,1.1848858059910554e-18,-0.12510258147046949,0.99333255355971362,6.8881518991111315e-19,-0.11528416213226704,-2.9002342637762191e-20,-6.5559653294129318e-18,-1.9999040262033752,-2.7399455523728991e-35,610.01305778685401,659.98335566538356,659.98335566538356,610.01305778685401,610,660,660,610,0,0,0
0.48000000000000004,0.014823071526036343,8.0206422739967972e-20,-100.02001834393953,0.19907519113678149,1.4548750073718951e-18,-0.14418148876296313,0.99070924353637424,6.4215013800986894e-19,-0.13599703956919604,-4.8558624655591161e-20,-3.3298918129603513e-18,-2.1757964083440862,-3.6524220824537151e-35,610.00737397545936,659.99060063421359,659.99060063421359,610.00737397545936,610,660,660,610,0,0,0
0.5,0.020002913360322606,1.1446563593942412e-19,-100.0216948583743,0.24871967621370467,1.6748304506170488e-18,-0.16823616169107478,0.98737722546902917,7.9894056463897822e-19,-0.15838628294483714,-4.0351939931856402e-20,1.5950563248724651e-17,-2.3514186672379136,-4.6403286329930411e-35,610.00416422129445,659.99469200306157,659.99469200306157,610.00416422129445,610,660,660,610,0,0,0
0.52000000000000002,0.026436844992969791,1.5482891706022374e-19,-100.02327853655126,0.30516529479063398,1.9603634997275384e-18,-0.19849167282758606,0.98322069674588508,9.1057513592482066e-19,-0.18242001395279131,-4.1399621327947758e-20,1.9148711271841905e-17,-2.5267558151388476,-4.1751169890731644e-35,610.00235161333057,659.99700247525845,659.99700247525845,610.00235161333057,610,660,660,610,0,0,0
0.54000000000000004,0.034307794900836519,2.023073454354688e-19,-100.02470288239307,0.36834005652989321,2.2543074215624869e-18,-0.23632614650390882,0.97811625343987796,1.1098282756273349e-18,-0.20805911361133991,-2.734250150196038e-20,1.5895159775507282e-17,-2.7017996185186641,-4.0163925117545194e-35,610.00132799985056,659.99830724194453,659.99830724194453,610.00132799985056,610,660,660,610,0,0,0
0.56000000000000005,0.043807696824977836,2.5838154546680826e-19,-100.02588673441906,0.43795657957455059,2.626723930580734e-18,-0.28326135210656112,0.97193338198753321,1.2766841726388567e-18,-0.235256245354456,-2.3400003872111503e-20,1.2647269880858006e-17,-2.8765456576954338,-4.7749166381852355e-35,610.00074994625186,659.99904406799556,659.99904406799556,610.00074994625186,610,660,660,610,0,0,0
0.58000000000000007,0.055136015673873696,3.2420660049215831e-19,-100.02673247545582,0.51347187177562859,3.1565008805260102e-18,-0.34094600291358312,0.96453504744330809,1.2111513673486988e-18,-0.26395481100661039,-7.876090413122014e-20,-2.5957599025567426e-17,-3.0509916663421563,-2.8533064108862644e-35,610.00042350861759,659.99946016739125,659.99946016739125,610.00042350861759,610,660,660,610,0,0,0
